rank,title,Studio,gross,grossTheaters,opening,openingTheaters,date,publisher
15,Black Panther,BV,263013041,4020,202003951,4020,2/16/18,Marvel
13,Thor: Ragnarok,BV,314647663,4080,122744989,4080,11/3/17,Marvel
49,Inhumans,Imax,1521787,393,1135440,393,9/1/17,Marvel
10,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/17,Marvel
6,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/17,Marvel
21,Logan,Fox,226277068,4071,88411916,4071,3/3/17,Marvel
20,Doctor Strange,BV,232641920,3882,85058311,3882,11/4/16,Marvel
31,X-Men: Apocalypse,Fox,155442489,4153,65769562,4150,5/27/16,Marvel
4,Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/16,Marvel
8,Deadpool,Fox,363070709,3856,132434639,3558,2/12/16,Marvel
42,Fantastic Four,Fox,56117548,4004,25685737,3995,8/7/15,Marvel
27,Ant-Man,BV,180202163,3868,57225526,3856,7/17/15,Marvel
2,Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,5/1/15,Marvel
22,Big Hero 6,BV,222527828,3773,56215889,3761,11/7/14,Marvel
11,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/14,Marvel
19,X-Men: Days of Future Past,Fox,233921534,4001,90823660,3996,5/23/14,Marvel
25,The Amazing Spider-Man 2,Sony,202853933,4324,91608337,4324,5/2/14,Marvel
17,Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/14,Marvel
24,Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/13,Marvel
35,The Wolverine,Fox,132556852,3924,53113752,3924,7/26/13,Marvel
3,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Marvel
16,The Amazing Spider-Man,Sony,262030663,4318,62004688,4318,7/3/12,Marvel
1,Marvel's The Avengers,BV,623357910,4349,207438708,4349,5/4/12,Marvel
44,Ghost Rider: Spirit of Vengeance,Sony,51774002,3174,22115334,3174,2/17/12,Marvel
29,Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/11,Marvel
33,X-Men: First Class,Fox,146408305,3692,55101604,3641,6/3/11,Marvel
26,Thor,Par.,181030624,3963,65723338,3955,5/6/11,Marvel
14,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Marvel
28,X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/09,Marvel
48,Punisher: War Zone,LGF,8050977,2508,4271451,2508,12/5/08,Marvel
34,The Incredible Hulk,Uni.,134806913,3508,55414050,3505,6/13/08,Marvel
12,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Marvel
37,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,3963,58051684,3959,6/15/07,Marvel
9,Spider-Man 3,Sony,336530303,4324,151116516,4252,5/4/07,Marvel
38,Ghost Rider,Sony,115802596,3620,45388836,3619,2/16/07,Marvel
18,X-Men: The Last Stand,Fox,234362462,3714,102750665,3690,5/26/06,Marvel
32,Fantastic Four (2005),Fox,154696080,3619,56061504,3602,7/8/05,Marvel
46,Elektra,Fox,24409722,3204,12804793,3204,1/14/05,Marvel
43,Blade: Trinity,NL,52411906,2912,16061271,2912,12/8/04,Marvel
7,Spider-Man 2,Sony,373585825,4166,88156227,4152,6/30/04,Marvel
45,The Punisher,Lions,33810189,2649,13834527,2649,4/16/04,Marvel
36,Hulk,Uni.,132177234,3674,62128420,3660,6/20/03,Marvel
23,X2: X-Men United,Fox,214949694,3749,85558731,3741,5/2/03,Marvel
39,Daredevil,Fox,102543518,3474,40310419,3471,2/14/03,Marvel
5,Spider-Man,Sony,403706375,3876,114844116,3615,5/3/02,Marvel
40,Blade II,NL,82348319,2707,32528016,2707,3/22/02,Marvel
30,X-Men,Fox,157299717,3112,54471475,3025,7/14/00,Marvel
41,Blade,NL,70087718,2389,17073856,2322,8/21/98,Marvel
47,Howard the Duck,Uni.,16295774,1563,5070136,1554,8/1/86,Marvel
8,Justice League,WB,228786054,4051,93842239,4051,11/17/17,DC
3,Wonder Woman,WB,412563408,4165,103251471,4165,6/2/17,DC
12,The LEGO Batman Movie,WB,175750384,4088,53003468,4088,2/10/17,DC
5,Suicide Squad,WB,325100054,4255,133682248,4255,8/5/16,DC
4,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,DC
23,Red 2,LG/S,53262560,3016,18048422,3016,7/19/13,DC
6,Man of Steel,WB,291045518,4207,116619362,4207,6/14/13,DC
2,The Dark Knight Rises,WB,448139099,4404,160887295,4404,7/20/12,DC
15,Green Lantern,WB,116601172,3816,53174303,3816,6/17/11,DC
19,Red,Sum.,90380162,3349,21761408,3255,10/15/10,DC
28,Jonah Hex,WB,10547117,2825,5379365,2825,6/18/10,DC
25,The Losers,WB,23591432,2936,9406348,2936,4/23/10,DC
17,Watchmen,WB,107509799,3611,55214334,3611,3/6/09,DC
1,The Dark Knight,WB,533345358,4366,158411483,4366,7/18/08,DC
10,Superman Returns,WB,200081192,4065,52535096,4065,6/28/06,DC
21,V for Vendetta,WB,70511035,3365,25642340,3365,3/17/06,DC
9,Batman Begins,WB,205343774,3858,48745440,3858,6/15/05,DC
20,Constantine,WB,75976178,3006,29769098,3006,2/18/05,DC
24,Catwoman,WB,40202379,3117,16728411,3117,7/23/04,DC
30,Steel,WB,1710972,1260,870068,1260,8/15/97,DC
18,Batman and Robin,WB,107325195,2942,42872605,2934,6/20/97,DC
11,Batman Forever,WB,184031112,2893,52784433,2842,6/16/95,DC
29,Batman: Mask of the Phantasm,WB,5617391,1506,1189975,1506,12/25/93,DC
13,Batman Returns,WB,162831698,2644,45687711,2644,6/19/92,DC
7,Batman,WB,251188924,2201,40489746,2194,6/23/89,DC
26,Superman IV: The Quest for Peace,WB,15681020,1511,5683122,1511,7/24/87,DC
27,Supergirl,TriS,14296438,1620,5738249,1608,11/21/84,DC
22,Superman III,WB,59950623,1763,13352357,1759,6/17/83,DC
16,Superman II,WB,108185706,1878,14100523,1397,6/19/81,DC
14,Superman,WB,134218018,817,7465343,508,12/15/78,DC
