"","rank","title","Studio","gross","grossTheaters","opening","openingTheaters","date","publisher","year","avgTicketPrice","population"
"1",15,"Black Panther","BV",263013041,4020,202003951,4020,2018-02-16,"Marvel",2018,9.18,326970000
"2",13,"Thor: Ragnarok","BV",314647663,4080,122744989,4080,2017-11-03,"Marvel",2017,8.97,325720000
"3",49,"Inhumans","Imax",1521787,393,1135440,393,2017-09-01,"Marvel",2017,8.97,325720000
"4",10,"Spider-Man: Homecoming","Sony",334201140,4348,117027503,4348,2017-07-07,"Marvel",2017,8.97,325720000
"5",6,"Guardians of the Galaxy Vol. 2","BV",389813101,4347,146510104,4347,2017-05-05,"Marvel",2017,8.97,325720000
"6",21,"Logan","Fox",226277068,4071,88411916,4071,2017-03-03,"Marvel",2017,8.97,325720000
"7",20,"Doctor Strange","BV",232641920,3882,85058311,3882,2016-11-04,"Marvel",2016,8.65,323410000
"8",31,"X-Men: Apocalypse","Fox",155442489,4153,65769562,4150,2016-05-27,"Marvel",2016,8.65,323410000
"9",4,"Captain America: Civil War","BV",408084349,4226,179139142,4226,2016-05-06,"Marvel",2016,8.65,323410000
"10",8,"Deadpool","Fox",363070709,3856,132434639,3558,2016-02-12,"Marvel",2016,8.65,323410000
"11",42,"Fantastic Four","Fox",56117548,4004,25685737,3995,2015-08-07,"Marvel",2015,8.43,321040000
"12",27,"Ant-Man","BV",180202163,3868,57225526,3856,2015-07-17,"Marvel",2015,8.43,321040000
"13",2,"Avengers: Age of Ultron","BV",459005868,4276,191271109,4276,2015-05-01,"Marvel",2015,8.43,321040000
"14",22,"Big Hero 6","BV",222527828,3773,56215889,3761,2014-11-07,"Marvel",2014,8.17,318620000
"15",11,"Guardians of the Galaxy","BV",333176600,4088,94320883,4080,2014-08-01,"Marvel",2014,8.17,318620000
"16",19,"X-Men: Days of Future Past","Fox",233921534,4001,90823660,3996,2014-05-23,"Marvel",2014,8.17,318620000
"17",25,"The Amazing Spider-Man 2","Sony",202853933,4324,91608337,4324,2014-05-02,"Marvel",2014,8.17,318620000
"18",17,"Captain America: The Winter Soldier","BV",259766572,3938,95023721,3938,2014-04-04,"Marvel",2014,8.17,318620000
"19",24,"Thor: The Dark World","BV",206362140,3841,85737841,3841,2013-11-08,"Marvel",2013,8.13,316230000
"20",35,"The Wolverine","Fox",132556852,3924,53113752,3924,2013-07-26,"Marvel",2013,8.13,316230000
"21",3,"Iron Man 3","BV",409013994,4253,174144585,4253,2013-05-03,"Marvel",2013,8.13,316230000
"22",16,"The Amazing Spider-Man","Sony",262030663,4318,62004688,4318,2012-07-03,"Marvel",2012,7.96,313990000
"23",1,"Marvel's The Avengers","BV",623357910,4349,207438708,4349,2012-05-04,"Marvel",2012,7.96,313990000
"24",44,"Ghost Rider: Spirit of Vengeance","Sony",51774002,3174,22115334,3174,2012-02-17,"Marvel",2012,7.96,313990000
"25",29,"Captain America: The First Avenger","Par.",176654505,3715,65058524,3715,2011-07-22,"Marvel",2011,7.93,311640000
"26",33,"X-Men: First Class","Fox",146408305,3692,55101604,3641,2011-06-03,"Marvel",2011,7.93,311640000
"27",26,"Thor","Par.",181030624,3963,65723338,3955,2011-05-06,"Marvel",2011,7.93,311640000
"28",14,"Iron Man 2","Par.",312433331,4390,128122480,4380,2010-05-07,"Marvel",2010,7.89,309340000
"29",28,"X-Men Origins: Wolverine","Fox",179883157,4102,85058003,4099,2009-05-01,"Marvel",2009,7.5,306770000
"30",48,"Punisher: War Zone","LGF",8050977,2508,4271451,2508,2008-12-05,"Marvel",2008,7.18,304090000
"31",34,"The Incredible Hulk","Uni.",134806913,3508,55414050,3505,2008-06-13,"Marvel",2008,7.18,304090000
"32",12,"Iron Man","Par.",318412101,4154,98618668,4105,2008-05-02,"Marvel",2008,7.18,304090000
"33",37,"Fantastic Four: Rise of the Silver Surfer","Fox",131921738,3963,58051684,3959,2007-06-15,"Marvel",2007,6.88,301230000
"34",9,"Spider-Man 3","Sony",336530303,4324,151116516,4252,2007-05-04,"Marvel",2007,6.88,301230000
"35",38,"Ghost Rider","Sony",115802596,3620,45388836,3619,2007-02-16,"Marvel",2007,6.88,301230000
"36",18,"X-Men: The Last Stand","Fox",234362462,3714,102750665,3690,2006-05-26,"Marvel",2006,6.55,298380000
"37",32,"Fantastic Four (2005)","Fox",154696080,3619,56061504,3602,2005-07-08,"Marvel",2005,6.41,295520000
"38",46,"Elektra","Fox",24409722,3204,12804793,3204,2005-01-14,"Marvel",2005,6.41,295520000
"39",43,"Blade: Trinity","NL",52411906,2912,16061271,2912,2004-12-08,"Marvel",2004,6.21,292810000
"40",7,"Spider-Man 2","Sony",373585825,4166,88156227,4152,2004-06-30,"Marvel",2004,6.21,292810000
"41",45,"The Punisher","Lions",33810189,2649,13834527,2649,2004-04-16,"Marvel",2004,6.21,292810000
"42",36,"Hulk","Uni.",132177234,3674,62128420,3660,2003-06-20,"Marvel",2003,6.03,290110000
"43",23,"X2: X-Men United","Fox",214949694,3749,85558731,3741,2003-05-02,"Marvel",2003,6.03,290110000
"44",39,"Daredevil","Fox",102543518,3474,40310419,3471,2003-02-14,"Marvel",2003,6.03,290110000
"45",5,"Spider-Man","Sony",403706375,3876,114844116,3615,2002-05-03,"Marvel",2002,5.81,287630000
"46",40,"Blade II","NL",82348319,2707,32528016,2707,2002-03-22,"Marvel",2002,5.81,287630000
"47",30,"X-Men","Fox",157299717,3112,54471475,3025,2000-07-14,"Marvel",2000,5.39,282160000
"48",41,"Blade","NL",70087718,2389,17073856,2322,1998-08-21,"Marvel",1998,4.69,275850000
"49",47,"Howard the Duck","Uni.",16295774,1563,5070136,1554,1986-08-01,"Marvel",1986,3.71,240130000
"50",8,"Justice League","WB",228786054,4051,93842239,4051,2017-11-17,"DC",2017,8.97,325720000
"51",3,"Wonder Woman","WB",412563408,4165,103251471,4165,2017-06-02,"DC",2017,8.97,325720000
"52",12,"The LEGO Batman Movie","WB",175750384,4088,53003468,4088,2017-02-10,"DC",2017,8.97,325720000
"53",5,"Suicide Squad","WB",325100054,4255,133682248,4255,2016-08-05,"DC",2016,8.65,323410000
"54",4,"Batman v Superman: Dawn of Justice","WB",330360194,4256,166007347,4242,2016-03-25,"DC",2016,8.65,323410000
"55",23,"Red 2","LG/S",53262560,3016,18048422,3016,2013-07-19,"DC",2013,8.13,316230000
"56",6,"Man of Steel","WB",291045518,4207,116619362,4207,2013-06-14,"DC",2013,8.13,316230000
"57",2,"The Dark Knight Rises","WB",448139099,4404,160887295,4404,2012-07-20,"DC",2012,7.96,313990000
"58",15,"Green Lantern","WB",116601172,3816,53174303,3816,2011-06-17,"DC",2011,7.93,311640000
"59",19,"Red","Sum.",90380162,3349,21761408,3255,2010-10-15,"DC",2010,7.89,309340000
"60",28,"Jonah Hex","WB",10547117,2825,5379365,2825,2010-06-18,"DC",2010,7.89,309340000
"61",25,"The Losers","WB",23591432,2936,9406348,2936,2010-04-23,"DC",2010,7.89,309340000
"62",17,"Watchmen","WB",107509799,3611,55214334,3611,2009-03-06,"DC",2009,7.5,306770000
"63",1,"The Dark Knight","WB",533345358,4366,158411483,4366,2008-07-18,"DC",2008,7.18,304090000
"64",10,"Superman Returns","WB",200081192,4065,52535096,4065,2006-06-28,"DC",2006,6.55,298380000
"65",21,"V for Vendetta","WB",70511035,3365,25642340,3365,2006-03-17,"DC",2006,6.55,298380000
"66",9,"Batman Begins","WB",205343774,3858,48745440,3858,2005-06-15,"DC",2005,6.41,295520000
"67",20,"Constantine","WB",75976178,3006,29769098,3006,2005-02-18,"DC",2005,6.41,295520000
"68",24,"Catwoman","WB",40202379,3117,16728411,3117,2004-07-23,"DC",2004,6.21,292810000
"69",30,"Steel","WB",1710972,1260,870068,1260,1997-08-15,"DC",1997,4.59,272650000
"70",18,"Batman and Robin","WB",107325195,2942,42872605,2934,1997-06-20,"DC",1997,4.59,272650000
"71",11,"Batman Forever","WB",184031112,2893,52784433,2842,1995-06-16,"DC",1995,4.35,266280000
"72",29,"Batman: Mask of the Phantasm","WB",5617391,1506,1189975,1506,1993-12-25,"DC",1993,4.14,259920000
"73",13,"Batman Returns","WB",162831698,2644,45687711,2644,1992-06-19,"DC",1992,4.15,256510000
"74",7,"Batman","WB",251188924,2201,40489746,2194,1989-06-23,"DC",1989,3.97,246820000
"75",26,"Superman IV: The Quest for Peace","WB",15681020,1511,5683122,1511,1987-07-24,"DC",1987,3.91,242290000
